Título,Veículo,Resumo,Resumo bruto,Link,Data
Senado começa agenda intensa em semana de esforço concentrado - EBC - Empresa Brasil de Comunicação,Empresa Brasil de Comunicação,Senado começa agenda intensa em semana de esforço concentrado,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPN1pJTGxsVE54YjlrX3FBWWpCRTR1NkdtMEd4MVA0ZWx3R3RadTBodjc4QzVCRGJCZkNsbUVWOVdZZnpESzVUNi1URWRZc1VrWWk4WEtsZEhOWjRzN1NVd1BlQkRkQ3RycHIycjlDUC1aYmhTMGZkUjBmaFhfcE52TDhKZjBYeGhYOERpUDJVUUQzLXpfVnNYZ2NfdEpwblFBN0MtUFByQ3lXWlpSc0txOF9MalpWTkoyQmxv?oc=5"" target=""_blank"">Senado começa agenda intensa em semana de esforço concentrado</a>&nbsp;&nbsp;<font color=""#6f6f6f"">EBC - Empresa Brasil de Comunicação</font>",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPN1pJTGxsVE54YjlrX3FBWWpCRTR1NkdtMEd4MVA0ZWx3R3RadTBodjc4QzVCRGJCZkNsbUVWOVdZZnpESzVUNi1URWRZc1VrWWk4WEtsZEhOWjRzN1NVd1BlQkRkQ3RycHIycjlDUC1aYmhTMGZkUjBmaFhfcE52TDhKZjBYeGhYOERpUDJVUUQzLXpfVnNYZ2NfdEpwblFBN0MtUFByQ3lXWlpSc0txOF9MalpWTkoyQmxv?oc=5,2022-04-05
Justiça do Rio anula delação de ex-presidente da Fecomercio e extingue ação contra advogados - CNN Brasil,CNN Brasil,Justiça do Rio anula delação de ex-presidente da Fecomercio e extingue ação contra advogados,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNazg1SzloLWJVbk9FdlV1TS1ZNUZBSW9vVnN1cWs4cGJrUHk3RHhvYjM4MHY2TFl2NWlCUzc0c1RtanBKNmI0ZFV3S2tydVZGWFhQdDE0Y0J5MzVlTXd6bUhacVNiR2xnMUw1a3RMbFpRR3oweHRFeXFxTnZwWFp4M014VjN3d1AxaXJVNjdzZlZxNEYtQlV0NHh6Q1o5eEZKLTIxb1BTS1ZfcXNLckhSQjh2UmRYUlc0VEFxOFVtdDFhT2dXMnZpZ051OA?oc=5"" target=""_blank"">Justiça do Rio anula delação de ex-presidente da Fecomercio e extingue ação contra advogados</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN Brasil</font>",https://news.google.com/rss/articles/CBMiywFBVV95cUxNazg1SzloLWJVbk9FdlV1TS1ZNUZBSW9vVnN1cWs4cGJrUHk3RHhvYjM4MHY2TFl2NWlCUzc0c1RtanBKNmI0ZFV3S2tydVZGWFhQdDE0Y0J5MzVlTXd6bUhacVNiR2xnMUw1a3RMbFpRR3oweHRFeXFxTnZwWFp4M014VjN3d1AxaXJVNjdzZlZxNEYtQlV0NHh6Q1o5eEZKLTIxb1BTS1ZfcXNLckhSQjh2UmRYUlc0VEFxOFVtdDFhT2dXMnZpZ051OA?oc=5,2022-04-06
Senado aprova 4 indicações de Bolsonaro para Aneel; votação da 5ª fica para amanhã - UOL Economia,UOL Economia,Senado aprova 4 indicações de Bolsonaro para Aneel; votação da 5ª fica para amanhã,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPbWJxdEdveFY1eUxmM095N2hCVHd0M1JXM0k4cTJSY1IyTHNSeTltUEoxS1hJU2FoMklsRFh2b0MxVzA4cTl3UllGaU14a1J5djZQZUlTMlRzT210dlZ5MDJPaUNYTXRoUVlpNzVjbktaQl9McFFEbklmenRhQ0Iyem9xS0tjcTNYQk4wRU5Sa3o0NDJPWUZ0bXZDQXM2cDczQm5tcW5jMU1IOHFyR0k2YVhRd2VwMno2V0NxOXhlSnJJQWI5MmE0Yk9fNXVpcjVXUk1Ham9iRlRPR2NEd1lCRllCYw?oc=5"" target=""_blank"">Senado aprova 4 indicações de Bolsonaro para Aneel; votação da 5ª fica para amanhã</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UOL Economia</font>",https://news.google.com/rss/articles/CBMi4wFBVV95cUxPbWJxdEdveFY1eUxmM095N2hCVHd0M1JXM0k4cTJSY1IyTHNSeTltUEoxS1hJU2FoMklsRFh2b0MxVzA4cTl3UllGaU14a1J5djZQZUlTMlRzT210dlZ5MDJPaUNYTXRoUVlpNzVjbktaQl9McFFEbklmenRhQ0Iyem9xS0tjcTNYQk4wRU5Sa3o0NDJPWUZ0bXZDQXM2cDczQm5tcW5jMU1IOHFyR0k2YVhRd2VwMno2V0NxOXhlSnJJQWI5MmE0Yk9fNXVpcjVXUk1Ham9iRlRPR2NEd1lCRllCYw?oc=5,2022-04-06
Imposto de Renda 2022: Gastos com livros do meu filho dão desconto? - UOL Economia,UOL Economia,Imposto de Renda 2022: Gastos com livros do meu filho dão desconto?,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxOSnR5UTBsTU9lZ3YxSXFOQWdheXRqZkdRakZvQzdmSUNxN3VwQkptNV9WaWpBX3BVMG5mTHU2ZWt6SE9MZVdSUG9XU2hXOWM5ZzUxSE9MSkJIWDZPWkJ5WUtlRkN5aG50TWItNUxTUlNza09VVUVZSEp2WFgxR2RjMjdEZkJKc2prVFM5SjB4WDBuYUhDZVFFSmRvamQ3UUxUTTFVSVZvZXh0WEV6YlpaLVRIcEdnbFFJaWFDZGh4YWJDOVJibnI0R2hGNWNTelgxcURpU2txdkFacTIwSGc?oc=5"" target=""_blank"">Imposto de Renda 2022: Gastos com livros do meu filho dão desconto?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UOL Economia</font>",https://news.google.com/rss/articles/CBMi3gFBVV95cUxOSnR5UTBsTU9lZ3YxSXFOQWdheXRqZkdRakZvQzdmSUNxN3VwQkptNV9WaWpBX3BVMG5mTHU2ZWt6SE9MZVdSUG9XU2hXOWM5ZzUxSE9MSkJIWDZPWkJ5WUtlRkN5aG50TWItNUxTUlNza09VVUVZSEp2WFgxR2RjMjdEZkJKc2prVFM5SjB4WDBuYUhDZVFFSmRvamQ3UUxUTTFVSVZvZXh0WEV6YlpaLVRIcEdnbFFJaWFDZGh4YWJDOVJibnI0R2hGNWNTelgxcURpU2txdkFacTIwSGc?oc=5,2022-04-12
Renovar: Programa vai pagar R$ 30 mil por caminhão velho - UOL Economia,UOL Economia,Renovar: Programa vai pagar R$ 30 mil por caminhão velho,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNdXprUmVkZ05GYkFwckxxTGJWYW9kQ3lHaXp4OU1MT3dwWmg5QnpLeGhNSUdVTWJSZWZ3Z1NObEpQcXdqbG81M0J1Q3NJX3NVb2NqazJ3RGhwMjlaalcwRDBSU3BJc3JVcE5NUnpsTFhTeEhHV3pqRW9MVTBoak40amtLUC1aWnNmV2xlUlRaNDVBMm1KUlB4NURKV2lkdmZLb04zcldocnl1NWJ2MkJB?oc=5"" target=""_blank"">Renovar: Programa vai pagar R$ 30 mil por caminhão velho</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UOL Economia</font>",https://news.google.com/rss/articles/CBMirwFBVV95cUxNdXprUmVkZ05GYkFwckxxTGJWYW9kQ3lHaXp4OU1MT3dwWmg5QnpLeGhNSUdVTWJSZWZ3Z1NObEpQcXdqbG81M0J1Q3NJX3NVb2NqazJ3RGhwMjlaalcwRDBSU3BJc3JVcE5NUnpsTFhTeEhHV3pqRW9MVTBoak40amtLUC1aWnNmV2xlUlRaNDVBMm1KUlB4NURKV2lkdmZLb04zcldocnl1NWJ2MkJB?oc=5,2022-03-28
"Ciro diz que, se eleito, direção do Banco Central será ‘convidada a se demitir’ - CNN Brasil",CNN Brasil,"Ciro diz que, se eleito, direção do Banco Central será ‘convidada a se demitir’","<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxNNmJ0NHRZSFZNTHNWc2xSUkpoZDh3OWstaldCNkpCVmhwemV4SFVEbHFHWDh2Q09HQnZvTTBIV3VqWU40U2xxTW5paDBPZzZUUjFvX3RhNGQtNkR6aU9lNWFvSjFtZG1uajRuakhLcERoUDVjclE4eGtpR0xENWVVaWlrRjFyMXdMOHd2UHRvM1pESkRYNm5VU3lVQ3Zhb09ZNS1Bbm9EbVN2WGhGcWc0Sk0tdmk?oc=5"" target=""_blank"">Ciro diz que, se eleito, direção do Banco Central será ‘convidada a se demitir’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN Brasil</font>",https://news.google.com/rss/articles/CBMitAFBVV95cUxNNmJ0NHRZSFZNTHNWc2xSUkpoZDh3OWstaldCNkpCVmhwemV4SFVEbHFHWDh2Q09HQnZvTTBIV3VqWU40U2xxTW5paDBPZzZUUjFvX3RhNGQtNkR6aU9lNWFvSjFtZG1uajRuakhLcERoUDVjclE4eGtpR0xENWVVaWlrRjFyMXdMOHd2UHRvM1pESkRYNm5VU3lVQ3Zhb09ZNS1Bbm9EbVN2WGhGcWc0Sk0tdmk?oc=5,2022-04-15
STJ julga limite de 20 salários mínimos na base de cálculo das contribuições a terceiros - Martinelli Advogados,Martinelli Advogados,STJ julga limite de 20 salários mínimos na base de cálculo das contribuições a terceiros,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxQb3F0ZWlYSFdPRHR3alRoR0tLRE14VERlRnBTWHowUHBsZlNDelpqeTQ4cmRYWXRxc0VybDN1RnN0T2JDRk9kQU5jb3lMT2Vzb1FTMmJIdm0yQVpHQ1Z4SkRmcjh2cTNRZlI4YzkxcUVLTlVRUDBaX0xDOUNLQXRXLXJ3cGh3MWltU3hWY1FZVTdnSXJTYkFXbzVCSUpEQ0VUbFl0UVVpTHNhZE5vVHdmaVdLS0QxZXU1dnZr?oc=5"" target=""_blank"">STJ julga limite de 20 salários mínimos na base de cálculo das contribuições a terceiros</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Martinelli Advogados</font>",https://news.google.com/rss/articles/CBMiuwFBVV95cUxQb3F0ZWlYSFdPRHR3alRoR0tLRE14VERlRnBTWHowUHBsZlNDelpqeTQ4cmRYWXRxc0VybDN1RnN0T2JDRk9kQU5jb3lMT2Vzb1FTMmJIdm0yQVpHQ1Z4SkRmcjh2cTNRZlI4YzkxcUVLTlVRUDBaX0xDOUNLQXRXLXJ3cGh3MWltU3hWY1FZVTdnSXJTYkFXbzVCSUpEQ0VUbFl0UVVpTHNhZE5vVHdmaVdLS0QxZXU1dnZr?oc=5,2022-03-23
O avanço da possibilidade de citação por meio eletrônico - Migalhas,Migalhas,O avanço da possibilidade de citação por meio eletrônico,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxOVnRWZUJfYVhja2F1TjJLRUpEOGdWVlBRVkswc1BCbkRwM2xXeTJnN29uRlVHYkhhbXF2Sk1mWldfNGxDQkgtYXF2NTBHeUJnUTZpZC04elR4VTYxS0RraTdDbzBhemNYeDdVa1pUMURUelRGQkR3LV9TWHhFR05jdTRDdEF0R2Y5Q3Nxam1rc29FUXZoY2RVUllrUGQzNG_SAaQBQVVfeXFMTmltdS1MaG5yU1Z5LVZRWW9OeDBsOGxfX2lma0x0X1NzNUktNUpNS2p1bFZZUGpnbXdRSl9GNVJqTHN2VWtWaGV4UURvX0ZpNnBySXVSaDlFcVg0M1dUQkNtZ29welltcXptUzhndEFmYWs1TENWUDJnOTJScUZUeFQ0UnpfckYwV0NSWW1oWEhkaGtya1R6Z1JjNVBuNXIxV1ladmQ?oc=5"" target=""_blank"">O avanço da possibilidade de citação por meio eletrônico</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Migalhas</font>",https://news.google.com/rss/articles/CBMinwFBVV95cUxOVnRWZUJfYVhja2F1TjJLRUpEOGdWVlBRVkswc1BCbkRwM2xXeTJnN29uRlVHYkhhbXF2Sk1mWldfNGxDQkgtYXF2NTBHeUJnUTZpZC04elR4VTYxS0RraTdDbzBhemNYeDdVa1pUMURUelRGQkR3LV9TWHhFR05jdTRDdEF0R2Y5Q3Nxam1rc29FUXZoY2RVUllrUGQzNG_SAaQBQVVfeXFMTmltdS1MaG5yU1Z5LVZRWW9OeDBsOGxfX2lma0x0X1NzNUktNUpNS2p1bFZZUGpnbXdRSl9GNVJqTHN2VWtWaGV4UURvX0ZpNnBySXVSaDlFcVg0M1dUQkNtZ29welltcXptUzhndEFmYWs1TENWUDJnOTJScUZUeFQ0UnpfckYwV0NSWW1oWEhkaGtya1R6Z1JjNVBuNXIxV1ladmQ?oc=5,2022-04-13
"Roberto Tadros: 'ZFM é passível de ajustes, mas não pode ser asfixiada' - Real Time1",Real Time1,"Roberto Tadros: 'ZFM é passível de ajustes, mas não pode ser asfixiada'","<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxPOUVoWFNZZjlBb2k1enc1QXNmQVQyUGNsRW9CNmNJVmN0Rl85NDA4UGZtdXdNVDFfTTB5Uk5VN1cyLXFUaVB1WWI0NlVSaDZVdl9KaXlUMURGdFhJN0p6MXNOem91dlV1TU5lMWhUeEhLWW5RcEhXZ0E4NUpNSWxaSnBmLUJpaGl5UTlsU2hYV1UyYWxNdmtIQQ?oc=5"" target=""_blank"">Roberto Tadros: 'ZFM é passível de ajustes, mas não pode ser asfixiada'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Real Time1</font>",https://news.google.com/rss/articles/CBMimAFBVV95cUxPOUVoWFNZZjlBb2k1enc1QXNmQVQyUGNsRW9CNmNJVmN0Rl85NDA4UGZtdXdNVDFfTTB5Uk5VN1cyLXFUaVB1WWI0NlVSaDZVdl9KaXlUMURGdFhJN0p6MXNOem91dlV1TU5lMWhUeEhLWW5RcEhXZ0E4NUpNSWxaSnBmLUJpaGl5UTlsU2hYV1UyYWxNdmtIQQ?oc=5,2022-04-07
Saiba como declarar seu carro ou moto no Imposto de Renda 2022 - Istoé Dinheiro,Istoé Dinheiro,Saiba como declarar seu carro ou moto no Imposto de Renda 2022,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxQNXBuQnVseEZzUkJkZjlvYTJzTWhqYkF2SWQ3NVp6ZXN0N0dzaVl2ajlmZEFwN0JPWGtqX0REWGdxN1ZVWHBFdFBpb2p1VVJkdXMyVlBjenFZNWVKSWhRX3JIMkNoLWdZTmxrQW1CWWplZFhRdVRFOGhidThtczloTE40RU02YVNZVTBISXJPcXFrbktYTF9B?oc=5"" target=""_blank"">Saiba como declarar seu carro ou moto no Imposto de Renda 2022</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Istoé Dinheiro</font>",https://news.google.com/rss/articles/CBMilwFBVV95cUxQNXBuQnVseEZzUkJkZjlvYTJzTWhqYkF2SWQ3NVp6ZXN0N0dzaVl2ajlmZEFwN0JPWGtqX0REWGdxN1ZVWHBFdFBpb2p1VVJkdXMyVlBjenFZNWVKSWhRX3JIMkNoLWdZTmxrQW1CWWplZFhRdVRFOGhidThtczloTE40RU02YVNZVTBISXJPcXFrbktYTF9B?oc=5,2022-03-21
Imposto de Renda 2022: Parcelou tratamento de saúde? Veja como declarar - UOL Economia,UOL Economia,Imposto de Renda 2022: Parcelou tratamento de saúde? Veja como declarar,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxPSTVrdEZSS01qdEh2S3pWWFE5SndxdDVlZFMyZ09zZVROdzlHWGx6eG5oMVdJd09Rd0xpc1g5bEdDMGtFWUZGbWZIVXphdTduMldzOWtOVDBDblBQWnFhVEhCdGtkXzVrZF9aZUJQZ2N2VXU5c0R3M0JkUkZsZ1NrYzNDalJSYldnMEZadm9vUmxGM1pydjVRbVFVZ3FjUFBfZlVLQ2pEYkItUExadDZBV2N1MGJBTXNXdWFJSlRocldkbXVzcGxIS2NzUjdjaENCcFMxYWNXd1ppX2txRkxZ?oc=5"" target=""_blank"">Imposto de Renda 2022: Parcelou tratamento de saúde? Veja como declarar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UOL Economia</font>",https://news.google.com/rss/articles/CBMi3wFBVV95cUxPSTVrdEZSS01qdEh2S3pWWFE5SndxdDVlZFMyZ09zZVROdzlHWGx6eG5oMVdJd09Rd0xpc1g5bEdDMGtFWUZGbWZIVXphdTduMldzOWtOVDBDblBQWnFhVEhCdGtkXzVrZF9aZUJQZ2N2VXU5c0R3M0JkUkZsZ1NrYzNDalJSYldnMEZadm9vUmxGM1pydjVRbVFVZ3FjUFBfZlVLQ2pEYkItUExadDZBV2N1MGJBTXNXdWFJSlRocldkbXVzcGxIS2NzUjdjaENCcFMxYWNXd1ppX2txRkxZ?oc=5,2022-04-07
Pacheco reconhece dificuldades de CCJ votar reforma tributária na quarta (23) - RIC.com.br,RIC.com.br,Pacheco reconhece dificuldades de CCJ votar reforma tributária na quarta (23),"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQUGZnV1Y1MVRFazRuU21mVDRhUTU1VXhwSVpIWXR6ME56WVFaaDE0NU42NDRvRkhPbGZvb0dUYmtuM3BWWEltU1NJajF0ckhzcGVHbGNKZWNseG41YmQ4eTRXd3JSa0RoV0NJclhDOGw4d2tKaTFIVVFyM05ER0M4M2VqSFltSmNqeTFGVmk3RnFwelVPYXdPa2d5NGJBT1NkcjYxSndSUVVxSUFDbXpmblpQR2g4Y0dTTmZNOVhFaC0?oc=5"" target=""_blank"">Pacheco reconhece dificuldades de CCJ votar reforma tributária na quarta (23)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">RIC.com.br</font>",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQUGZnV1Y1MVRFazRuU21mVDRhUTU1VXhwSVpIWXR6ME56WVFaaDE0NU42NDRvRkhPbGZvb0dUYmtuM3BWWEltU1NJajF0ckhzcGVHbGNKZWNseG41YmQ4eTRXd3JSa0RoV0NJclhDOGw4d2tKaTFIVVFyM05ER0M4M2VqSFltSmNqeTFGVmk3RnFwelVPYXdPa2d5NGJBT1NkcjYxSndSUVVxSUFDbXpmblpQR2g4Y0dTTmZNOVhFaC0?oc=5,2022-03-22
Marcos Cintra: 'É hora retomar o imposto nos moldes da CPMF' - Folha Vitória,Folha Vitória,Marcos Cintra: 'É hora retomar o imposto nos moldes da CPMF',"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxPN2JpU0lqUWJfbFZacnFlNzh6VFAxbVpBRXA2TWVGQ3c2TzR3U2I0S01pb2VQVFBkOUJKNUJjQ1V6LUg2M2pCMlNaWUxYTUxwNWEtY0hNVDZhNG5wUTJOb0NXdTZEZGRrX0ZhbFR3dEEwVlA3N3hnSlNDQ25aQk92SWtyVGNOMU5BeldBOFBNSWFYQUVuM1FSMm5ZTE1Lc0Jv?oc=5"" target=""_blank"">Marcos Cintra: 'É hora retomar o imposto nos moldes da CPMF'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Folha Vitória</font>",https://news.google.com/rss/articles/CBMioAFBVV95cUxPN2JpU0lqUWJfbFZacnFlNzh6VFAxbVpBRXA2TWVGQ3c2TzR3U2I0S01pb2VQVFBkOUJKNUJjQ1V6LUg2M2pCMlNaWUxYTUxwNWEtY0hNVDZhNG5wUTJOb0NXdTZEZGRrX0ZhbFR3dEEwVlA3N3hnSlNDQ25aQk92SWtyVGNOMU5BeldBOFBNSWFYQUVuM1FSMm5ZTE1Lc0Jv?oc=5,2022-04-15
Entenda a proposta “enxuta“ da reforma tributária defendida por Guedes - CNN Brasil,CNN Brasil,Entenda a proposta “enxuta“ da reforma tributária defendida por Guedes,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxOSkFvWXB3emktbnNna0F2UzlRZXVHWlVKcDdrNWp1TXM2YmE3V2FiOXlDWHVfQk9DUXFBQWRILXZBVHlCSEk4YXZuSDFxSmhPT3ZsTnBKUUtUb1BGMjl0SVFiekRwSHBSX1QycVpWbUkzcWxjSy1kbVktcy1helZ5RERuQzBrR2pyRnAwY3QzQmFVMVIzakMxaXNuVnRjRFhpRVNjcXc4ZXdWWXAzUHFVTWh3OGVZZk5Rclg5MHVn?oc=5"" target=""_blank"">Entenda a proposta “enxuta“ da reforma tributária defendida por Guedes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN Brasil</font>",https://news.google.com/rss/articles/CBMivgFBVV95cUxOSkFvWXB3emktbnNna0F2UzlRZXVHWlVKcDdrNWp1TXM2YmE3V2FiOXlDWHVfQk9DUXFBQWRILXZBVHlCSEk4YXZuSDFxSmhPT3ZsTnBKUUtUb1BGMjl0SVFiekRwSHBSX1QycVpWbUkzcWxjSy1kbVktcy1helZ5RERuQzBrR2pyRnAwY3QzQmFVMVIzakMxaXNuVnRjRFhpRVNjcXc4ZXdWWXAzUHFVTWh3OGVZZk5Rclg5MHVn?oc=5,2022-05-11
Lei Complementar que regula a Reforma Tributária é sancionada - Único - o portal de notícias do Mattos Filho,o portal de notícias do Mattos Filho,Lei Complementar que regula a Reforma Tributária é sancionada,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE0xMjZsVmRaZ0h3WkludEc2b2thNlc5ZmN2ZmkzdHdVSW5JVmpjYmhqYl8zUEhUZ1RmSF9Kd0FsSENGbjBpa09hWFVFR3dpRXZXZmdRc1ZZYzNfNlhrMURxZUY0SEsxT2YzUjBwQw?oc=5"" target=""_blank"">Lei Complementar que regula a Reforma Tributária é sancionada</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Único - o portal de notícias do Mattos Filho</font>",https://news.google.com/rss/articles/CBMibEFVX3lxTE0xMjZsVmRaZ0h3WkludEc2b2thNlc5ZmN2ZmkzdHdVSW5JVmpjYmhqYl8zUEhUZ1RmSF9Kd0FsSENGbjBpa09hWFVFR3dpRXZXZmdRc1ZZYzNfNlhrMURxZUY0SEsxT2YzUjBwQw?oc=5,2022-05-03
A reforma tributária deveria considerar os princípios do ESG/Tributação? - ConJur,ConJur,A reforma tributária deveria considerar os princípios do ESG/Tributação?,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxPVVg0QTBNcFFqd1BSX2NHUWhDNUs3YTBLZjZwWV9HQVZISXBPMmFpekNCQWwtWVBYaGFwTG9JazU0Ym1adTd6Y3gtZ0F1Z2lYUGFaRTdqVVVuckt1Q1hHc3A5dklsM3RKRlVESlBoX0JkbEo3VHpscVVBWHgyb0dzbmhXcGNzZTM4NGlfQ0dZMlVJV0ZvU0RsQkV0UkhZR0tyR3RYNm9KRExmdEdvSk0zV3ZMbGIwX2dVaUQ3NW5ST1g?oc=5"" target=""_blank"">A reforma tributária deveria considerar os princípios do ESG/Tributação?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ConJur</font>",https://news.google.com/rss/articles/CBMiwAFBVV95cUxPVVg0QTBNcFFqd1BSX2NHUWhDNUs3YTBLZjZwWV9HQVZISXBPMmFpekNCQWwtWVBYaGFwTG9JazU0Ym1adTd6Y3gtZ0F1Z2lYUGFaRTdqVVVuckt1Q1hHc3A5dklsM3RKRlVESlBoX0JkbEo3VHpscVVBWHgyb0dzbmhXcGNzZTM4NGlfQ0dZMlVJV0ZvU0RsQkV0UkhZR0tyR3RYNm9KRExmdEdvSk0zV3ZMbGIwX2dVaUQ3NW5ST1g?oc=5,2022-04-27
"Reforma tributária é salvação para Brasil, diz Eurico Marcos de Santi - Migalhas",Migalhas,"Reforma tributária é salvação para Brasil, diz Eurico Marcos de Santi","<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxNZEZ5X3ctQnJsYUZUazlic1R1bFE3bkpmZVpaNXJRY2ZuVkwyZ0JINXZvM05TUlU0UlVDMmFNVEJRdzdING9UUFJhZVZnYk5XMWZkMm5OWmJLelBoeGlZSHNQSTc1RDNuSlhwdkN6aXV6eW5aTHJFUVFsbVF1M0Y2YjdNYzB0U2VpNTlkSjMwaGZiZHpXVUE3YmYzbUtyVzhaRnIwdHpHd1g4UWNjZV93edIBtgFBVV95cUxPNzA4a3d6RDdBYzUxQVZZT2tCWVV2N3kzMEtSd2pRdEVIQjlCbFNVWm9YalJJUFFxLXBKOU53RnpyTVQ3ZllMYm5FUGtUbk5CMXlQS1ZZNlNPRkUzcmh6dzR6VmlWSVVQOThkdko5akNqdzZjanUwYVIxWHg2bVltNVNTOElZazQzblU1ZEJPeE92VFBHTmhESTNvNjNMeV9wOXY5eGEyYWZXQm5iX195dm9WQkljUQ?oc=5"" target=""_blank"">Reforma tributária é salvação para Brasil, diz Eurico Marcos de Santi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Migalhas</font>",https://news.google.com/rss/articles/CBMisAFBVV95cUxNZEZ5X3ctQnJsYUZUazlic1R1bFE3bkpmZVpaNXJRY2ZuVkwyZ0JINXZvM05TUlU0UlVDMmFNVEJRdzdING9UUFJhZVZnYk5XMWZkMm5OWmJLelBoeGlZSHNQSTc1RDNuSlhwdkN6aXV6eW5aTHJFUVFsbVF1M0Y2YjdNYzB0U2VpNTlkSjMwaGZiZHpXVUE3YmYzbUtyVzhaRnIwdHpHd1g4UWNjZV93edIBtgFBVV95cUxPNzA4a3d6RDdBYzUxQVZZT2tCWVV2N3kzMEtSd2pRdEVIQjlCbFNVWm9YalJJUFFxLXBKOU53RnpyTVQ3ZllMYm5FUGtUbk5CMXlQS1ZZNlNPRkUzcmh6dzR6VmlWSVVQOThkdko5akNqdzZjanUwYVIxWHg2bVltNVNTOElZazQzblU1ZEJPeE92VFBHTmhESTNvNjNMeV9wOXY5eGEyYWZXQm5iX195dm9WQkljUQ?oc=5,2022-05-04
IPI reduzido abala Zona Franca e atrasa Reforma Tributária - Poder360,Poder360,IPI reduzido abala Zona Franca e atrasa Reforma Tributária,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxNbXBnWW1qZllPNVBJUmdnWUhIRXJIV05MaDRSX1MyTlViVE40Z3VETjIwVnRkMmE1MVhYc1JITy1aOTI2TkNsSWFVQkczS18tckxWNGVzVU1RUUlzSWVCbmxhMV9LOXpVTlFVM2F2WEhWdXpCQlV6T1dyaWhRb3RKRldVdXZQc00tMEhlNjV1ZUZPaWdMMFNLczNNZw?oc=5"" target=""_blank"">IPI reduzido abala Zona Franca e atrasa Reforma Tributária</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Poder360</font>",https://news.google.com/rss/articles/CBMimwFBVV95cUxNbXBnWW1qZllPNVBJUmdnWUhIRXJIV05MaDRSX1MyTlViVE40Z3VETjIwVnRkMmE1MVhYc1JITy1aOTI2TkNsSWFVQkczS18tckxWNGVzVU1RUUlzSWVCbmxhMV9LOXpVTlFVM2F2WEhWdXpCQlV6T1dyaWhRb3RKRldVdXZQc00tMEhlNjV1ZUZPaWdMMFNLczNNZw?oc=5,2022-05-06
